"Buy!","KUP!"
"Bought","Kupiono"
"Save up to","Zaoszczędź do"
"View!","Zobacz!"
"Selling fast!","Bestsellery!"
"IN HIGH DEMAND!","ROZCHWYTYWANE!"
"Limited Availability!","Ograniczona dostępność!"
"ALMOST GONE - only $XX remaining!","PRAWIE WYPRZEDANE - pozostało tylko $XX sztuk!"
"Starting at","Zaczyna się od"
"Product Name","Nazwa produktu"
"Qty","Ilość"
"Buy!","KUP!"
"Show all categories","Pokaż wszystkie kategorie"
"Show less","Pokaż mniej"
"All %1 deals","Wszystkie oferty %1"
"What are you looking for?","Czego poszukujesz?"
"Advertise","Reklamuj się"
"Menu","Menu"
"You have no items in your shopping cart.","Nie masz żadnych artykułów w koszyku."
"Your email","Twój e-mail"
"Sign Up","Zarejestruj się"
"Login","Zaloguj się"
"Not yet signed up?","Jeszcze się nie zapisałeś?"
"Register here","Rejestracja tutaj"
"Email","E-mail"
"Password","Hasło"
"Remember Me What's this?","Zapamiętaj mnie. Co to jest?"
"By logging in you agree to continue to receive daily emails featuring local service, shopping and travel offers from Wowcher. You can change your preferences and unsubscribe at any time by clicking on the unsubscribe option in the email itself or in the email preference centre. View our Privacy & Cookie Policy here.","Logując się, wyrażasz zgodę na dalsze otrzymywanie codziennych wiadomości e-mail zawierających lokalne usługi, zakupy i oferty podróży od Wowcher. W każdej chwili możesz zmienić swoje preferencje i zrezygnować z subskrypcji, klikając opcję rezygnacji z subskrypcji w wiadomości e-mail lub w centrum preferencji e-mailowych. Zobacz naszą Politykę prywatności i plików cookie tutaj."
"LOGIN","ZALOGUJ SIĘ"
"Required Fields","Wymagane pola"
"Create New Customer Account","Utwórz nowe konto klienta"
"Personal Information","Dane osobowe"
"Sign Up for Newsletter","Subskrybuj newsletter"
"Sign-in Information","Informacje dotyczące logowania"
"Confirm Password","Potwierdź hasło"
"Password Strength: No Password","Siła hasła: brak hasła"
"Password Strength: Weak","Siła hasła: słabe"
"Password Strength: Medium","Siła hasła: średnie"
"Password Strength: Strong","Siła hasła: silne"
"Password Strength: Very Strong","Siła hasła: bardzo silne"
"Forgot your password?","Nie pamiętasz hasła?"
"Please enter your email address below to receive a password reset link.","Podaj swój adres e-mail poniżej, aby otrzymać link do resetowania hasła."
"Please type the letters and numbers below","Wpisz litery i cyfry poniżej"
"Reload captcha","Załaduj ponownie kod CAPTCHA"
"Reset My Password","Resetuj moje hasło"
"You are signed out","Nastąpiło wylogowanie"
"You have signed out and will go to our homepage in 5 seconds.","Nastąpiło wylogowanie i za 5 sekund przejdziesz do naszej strony głównej."
"My Details","Moje dane"
"My Orders","Moje zamówienia"
"My Downloadable Products","Moje produkty do pobrania"
"Address Book","Książka adresowa"
"Account Information","Informacje o koncie"
"Stored Payment Methods","Zapisane metody płatności"
"Newsletter Subscriptions","Subskrypcje newsletterów"
"Recently Ordered","Ostatnio zamówione"
"Add to Cart","KUP!"
"View All","Pokaż wszystkie"
"You are subscribed to "General Subscription".","Jesteś subskrybentem „Subskrypcji ogólnej”."
"You aren't subscribed to our newsletter.","Nie subskrybujesz naszego newslettera."
"We have removed your newsletter subscription.","Usunęliśmy Twoją subskrypcję newslettera."
"Account Information","Informacje o koncie"
"Contact Information","Dane kontaktowe"
"Newsletters","Newslettery"
"Edit","Edytuj"
"Change Password","Zmień hasło"
"Edit Address","Edytuj adres"
"Manage Addresses","Zarządzaj adresami"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Shipping Address","Domyślny adres dostawy"
"You have placed no orders.","Nie złożono żadnych zamówień."
"Back","Wstecz"
"Order #","Nr zamówienia"
"Date","Data"
"Order Total","Łączna wartość zamówienia"
"Status","Status"
"Action","Działanie"
"View Order","Wyświetl zamówienie"
"Reorder","Zamów ponownie"
"Item","Artykuł"
"Show","Pokaż"
"per page","na stronę"
"Processing","Przetwarzanie"
"Additional Address Entries","Dodatkowe wpisy adresowe"
"You have no other address entries in your address book.","Nie masz żadnych innych wpisów adresowych w książce adresowej."
"Add New Address","Dodaj nowy adres"
"Delete","Usuń"
"First Name","Imię"
"Last Name","Nazwisko"
"Company","Firma"
"Phone Number","Numer telefonu"
"Street Address","Adres ulicy"
"Country","Kraj"
"State/Province","Województwo/Powiat"
"City","Miejscowość"
"Zip/Postal Code","Kod pocztowy"
"Use as my default billing address","Użyj jako mojego domyślnego adresu rozliczeniowego"
"Use as my default shipping address","Użyj jako mojego domyślnego adresu wysyłki"
"Save Address","Zapisz adres"
"Please select a region, state or province.","Wybierz region, województwo lub powiat."
"Go back","Wróć"
"You have no stored payment methods.","Nie masz żadnych zapisanych metod płatności."
"Subscription option","Opcja subskrypcji"
"General Subscription","Subskrypcja ogólna"
"Save","Zapisz"
"Order Date","Data zamówienia"
"Print Order","Drukuj zamówienie"
"Items Ordered","Zamówione artykuły"
"Product Name","Nazwa produktu"
"SKU","SKU"
"Price","Cena"
"Qty","Ilość"
"Subtotal","Łączna wartość"
"Ordered","Zamówiono"
"Subtotal","Łączna wartość"
"Shipping & Handling","Wysyłka i doręczenie"
"Grand Total","Suma ogółem"
"Back to My Orders","Powrót do moich zamówień"
"Order Information","Informacja o zamówieniu"
"Shipping Method","Metoda wysyłki"
"Payment Method","Metoda płatności"
"Thank you for your purchase!","Dziękujemy za zakup!"
"Print receipt","Wydrukuj pokwitowanie"
"Your order number is","Twój numer zamówienia to"
"We'll email you an order confirmation with details and tracking info.","Wyślemy Ci e-mail z potwierdzeniem zamówienia zawierającym szczegółowe dane i informacje umożliwiające śledzenie przesyłki."
"Continue Shopping","Kontynuuj zakupy"
"Item in cart","Artykuł w koszyku"
"Cart Subtotal","Wartość artykułów w koszyku"
"Proceed to checkout","Przejdź do kasy"
"Paypal Checkout","Kasa Paypal"
"Qty","Ilość"
"View and Edit Cart","Wyświetl i edytuj koszyk"
"Remove item","Usuń artykuł"
"Update","Aktualizuj"
"Shopping Basket","Koszyk"
"Item","Artykuł"
"Price","Cena"
"Subtotal","Łączna wartość"
"Clear Shopping Cart","Opróżnij koszyk"
"Update Shopping Cart","Aktualizuj koszyk"
"Summary","Podsumowanie"
"Estimate Shipping and Tax","Oszacuj koszty wysyłki i podatek"
"Enter your destination to get a shipping estimate.","Wprowadź miejsce docelowe, aby otrzymać wycenę wysyłki."
"Shipping","Wysyłka"
"Order Total","Łączna wartość zamówienia"
"Apply Discount Code","Zastosuj kod rabatowy"
"Enter Discount Code","Wprowadź kod rabatowy"
"Apply Discount","Zastosuj rabat"
"You have no items in your shopping cart.","Nie masz żadnych artykułów w koszyku."
"Click here to continue shopping.","Kliknij tutaj, aby kontynuować zakupy."
"Checkout as a new customer","Przejdź do kasy jako nowy klient"
"Checkout using your account","Przejdź do kasy, korzystając ze swojego konta"
"Email Address","Adres e-mail"
"Password","Hasło"
"Create an Account","Utwórz konto"
"Forgot your Password?","Nie pamiętasz hasła?"
"Login","Zaloguj się"
"Creating an account has many benefits:","Założenie konta ma wiele zalet:"
"See order and shipping status","Śledź status zamówienia i wysyłkę"
"Track order history","Śledź historię zamówień"
"Check out faster","Szybciej zapłać za swoje zakupy"
"Shipping","Wysyłka"
"Review & Payments","Podsumowanie i płatność"
"Shipping Address","Adres do wysyłki"
"Ship Here","Wyślij tutaj"
"New Address","Nowy adres"
"Next","Dalej"
"Shipping Methods","Metody wysyłki"
"Order Summary","Podsumowanie zamówienia"
"Cancel","Anuluj"
"Save in address book","Zapisz w książce adresowej"
"For delivery questions.","W razie pytań dotyczących dostawy."
"Item in cart","Artykuł w koszyku"
"Payment Method","Metoda płatności"
"Check / Money Order","Czek / Przekaz pieniężny"
"Place Order","Złóż zamówienie"
"Credit Card","Karta kredytowa"
"Credit Card Number","Numer karty kredytowej"
"Expiration Date","Data ważności"
"Card Verification Number","Kod weryfikacyjny karty"
"Ship To","Wysyłka do"
"Shipping","Wysyłka"
"Tax","Podatek"
"The product wasn't found. Verify the product and try again.","Nie znaleziono produktu. Sprawdź produkt i spróbuj ponownie."
"You added Expanding Garden Hose Deal - 75ft or 100ft! to your shopping cart.","Dodano do koszyka rozwijany wąż ogrodowy 23 m lub 30,5 m."
"This is a required field.","To pole jest wymagane."
"Please enter a valid email address (Ex: johndoe@domain.com).","Podaj prawidłowy adres e-mail (np. jan.nowak@domena.com)."
"Thank you, you got the offer!","Dziękuję, otrzymałeś(-aś) ofertę!"
